cdate,aname,fdust,ufdust,ufdust_grade,nd,nd_pass
20180101,CENTER,32,18,normal,0.027999999999999997,1
20180101,ES,52,23,normal,0.027999999999999997,1
20180101,ES,49,24,normal,0.031,1
20180101,ES,34,22,normal,0.033,1
20180101,WS,37,21,normal,0.037000000000000005,1
20180101,WS,39,21,normal,0.036000000000000004,1
20180101,WS,38,23,normal,0.036000000000000004,1
20180101,WS,40,19,normal,0.035,1
20180101,WS,47,24,normal,0.03,1
20180101,WS,47,28,normal,0.025,1
20180101,WS,0,13,good,0.036000000000000004,1
20180101,EN,42,21,normal,0.034,1
20180101,ES,48,24,normal,0.038,1
20180101,EN,38,18,normal,0.026000000000000002,1
20180101,EN,44,22,normal,0.028999999999999998,1
20180101,EN,43,19,normal,0.04,1
20180101,EN,46,20,normal,0.031,1
20180101,EN,48,22,normal,0.036000000000000004,1
20180101,EN,47,23,normal,0.032,1
20180101,EN,41,21,normal,0.037000000000000005,1
20180101,WN,39,21,normal,0.033,1
20180101,WN,41,21,normal,0.017,1
20180101,CENTER,38,18,normal,0.028999999999999998,1
20180101,CENTER,34,17,normal,0.028999999999999998,1
20180102,ES,46,25,normal,0.040999999999999995,1
20180102,ES,53,27,normal,0.033,1
20180102,ES,50,26,normal,0.032,1
20180102,ES,34,25,normal,0.039,1
20180102,WS,39,24,normal,0.038,1
20180102,WS,39,24,normal,0.039,1
20180102,WS,37,24,normal,0.042,1
20180102,WS,43,24,normal,0.045,1
20180102,WS,48,25,normal,0.037000000000000005,1
20180102,WS,46,29,normal,0.024,1
20180102,WS,23,15,good,0.037000000000000005,1
20180102,EN,41,22,normal,0.033,1
20180102,EN,32,16,normal,0.027999999999999997,1
20180102,EN,42,22,normal,0.033,1
20180102,EN,43,20,normal,0.040999999999999995,1
20180102,EN,43,21,normal,0.043,1
20180102,EN,46,22,normal,0.042,1
20180102,EN,42,23,normal,0.033,1
20180102,EN,44,25,normal,0.043,1
20180102,WN,40,24,normal,0.043,1
20180102,WN,40,21,normal,0.021,1
20180102,CENTER,38,21,normal,0.038,1
20180102,CENTER,36,22,normal,0.044000000000000004,1
20180102,CENTER,33,20,normal,0.037000000000000005,1
