cdate,fdust,ozone,nd,cm,sagas,airquality,air_index
20180101,32,0.015,0.028,0.5,0.005,good,3
20180101,52,0.013,0.028,0.7,0.004,bad,5
20180101,49,0.011,0.031,0.6,0.005,normal,4
20180101,34,0.01,0.033,0.6,0.006,good,3
20180101,37,0.008,0.037000000000000005,0.7,0.005,good,3
20180101,39,0.01,0.036000000000000004,0.6,0.005,good,3
20180101,38,0.008,0.036000000000000004,0.5,0.008,good,3
20180101,40,0.012,0.035,0.5,0.005,good,3
20180101,47,0.01,0.03,0.7,0.006999999999999999,normal,4
20180101,47,0.008,0.025,0.6,0.006999999999999999,normal,4
20180101,0,0.012,0.036000000000000004,0.7,0.004,good,3
20180101,42,0.012,0.034,0.8,0.006999999999999999,normal,4
20180101,48,0.01,0.038,0.7,0.005,normal,4
20180101,38,0.018000000000000002,0.026,0.6,0.004,good,3
20180101,44,0.016,0.029,0.6,0.006,normal,4
20180101,43,0.01,0.04,0.7,0.006999999999999999,normal,4
20180101,46,0.013,0.031,0.6,0.006,normal,4
20180101,48,0.01,0.036000000000000004,0.7,0.006999999999999999,normal,4
20180101,47,0.01,0.032,0.3,0.006,normal,4
20180101,41,0.012,0.037000000000000005,0.7,0.005,normal,4
20180101,39,0.012,0.033,0.6,0.006,good,3
20180101,41,0.014,0.017,0.6,0.003,normal,4
20180101,38,0.012,0.029,0.3,0.005,good,3
20180101,34,0.016,0.029,0.6,0.006999999999999999,good,3
20180102,46,0.009000000000000001,0.041,0.8,0.005,normal,4
20180102,53,0.011,0.033,0.9,0.005,bad,5
20180102,50,0.01,0.032,0.7,0.006,normal,4
20180102,34,0.006999999999999999,0.039,0.7,0.006,good,3
20180102,39,0.008,0.038,0.8,0.005,good,3
20180102,39,0.01,0.039,0.7,0.005,good,3
20180102,37,0.006999999999999999,0.042,0.6,0.006999999999999999,good,3
20180102,43,0.011,0.045,0.8,0.004,normal,4
20180102,48,0.009000000000000001,0.037000000000000005,0.8,0.006999999999999999,normal,4
20180102,46,0.006999999999999999,0.024,0.8,0.006999999999999999,normal,4
20180102,23,0.012,0.037000000000000005,0.7,0.004,good,3
20180102,41,0.014,0.033,0.8,0.006,normal,4
20180102,32,0.02,0.028,0.6,0.004,good,3
20180102,42,0.016,0.033,0.8,0.004,normal,4
20180102,43,0.012,0.041,0.9,0.006,normal,4
20180102,43,0.011,0.043,0.7,0.006,normal,4
20180102,46,0.008,0.042,0.8,0.006,normal,4
20180102,42,0.009000000000000001,0.033,0.5,0.005,normal,4
20180102,44,0.01,0.043,0.8,0.006,normal,4
20180102,40,0.01,0.043,0.9,0.005,good,3
20180102,40,0.013,0.021,0.8,0.004,good,3
20180102,38,0.009000000000000001,0.038,0.5,0.005,good,3
20180102,36,0.01,0.044,0.9,0.006999999999999999,good,3
20180102,33,0.012,0.037000000000000005,0.8,0.005,good,3
20180103,31,0.016,0.025,0.6,0.006999999999999999,good,3
20180103,39,0.015,0.028,0.5,0.005,good,3
20180103,40,0.016,0.022,0.4,0.004,good,3
20180103,40,0.016,0.019,0.4,0.005,good,3
20180103,28,0.01,0.027000000000000003,0.5,0.006,better,2
20180103,33,0.015,0.022,0.5,0.004,good,3
20180103,33,0.016,0.026,0.5,0.005,good,3
20180103,30,0.012,0.025,0.3,0.006999999999999999,better,2
20180103,39,0.015,0.026,0.4,0.004,good,3
20180103,40,0.012,0.024,0.6,0.006999999999999999,good,3
20180103,39,0.012,0.016,0.4,0.006,good,3
20180103,33,0.019,0.02,0.4,0.004,good,3
20180103,36,0.022,0.018000000000000002,0.5,0.006,good,3
20180103,30,0.026,0.016,0.5,0.004,better,2
20180103,34,0.023,0.014,0.4,0.006,good,3
20180103,37,0.017,0.024,0.5,0.006,good,3
20180103,37,0.017,0.024,0.5,0.006,good,3
20180103,39,0.014,0.025,0.5,0.006,good,3
20180103,37,0.012,0.024,0.5,0.005,good,3
20180103,34,0.016,0.026,0.5,0.004,good,3
20180103,33,0.017,0.021,0.5,0.005,good,3
20180103,30,0.018000000000000002,0.021,0.5,0.005,better,2
20180103,39,0.02,0.024,0.6,0.005,good,3
20180103,36,0.013,0.025,0.3,0.005,good,3
20180104,38,0.009000000000000001,0.036000000000000004,0.7,0.005,good,3
20180104,55,0.011,0.036000000000000004,0.6,0.005,bad,5
20180104,57,0.013,0.029,0.6,0.005,bad,5
20180104,52,0.008,0.034,0.5,0.005,bad,5
